Taxonomy	mean(group1)	variance(group1)	stderr(group1)	mean(group2)	variance(group2)	stderr(group2)	p.value	q.value	LPS_1	LPS_2	LPS_3	LPS_4	LPS_5	LPS+BS_1	LPS+BS_2	LPS+BS_3	LPS+BS_4	LPS+BS_5
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	0.002746	0.000002	0.000589	0.001163	0	0.000273	0.033088	0.073811692	102	234	97	97	104	14	37	64	86	68
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Parvibacter	0.000594	0	0.000166	0.002266	0.000002	0.000702	0.041491	0.087334	25	55	14	13	30	38	19	185	132	150
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	0.000104	0	0.000044	0.000359	0	0.000102	0.042298	0.087334	0	0	10	7	7	29	26	14	5	9
Others	0.654805	0.005977	0.034574	0.419758	0.046747	0.096692	0.043667	0.087334	25622	27221	32851	32867	32839	8733	8181	26462	26902	26802
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.000048	0	0.000016	0.000104	0	0.000022	0.063298	0.121974	4	3	1	3	0	5	7	2	7	3
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.088718	0.007875	0.039686	0.006615	0.000037	0.002705	0.065193	0.121974	11093	0	3265	3198	3033	0	0	536	494	500
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Oscillospiraceae;g__unidentified_Oscillospiraceae	0.003598	0.000008	0.001285	0.000908	0.000001	0.000358	0.070947	0.128591438	132	398	74	119	107	3	0	69	70	68
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Ruminococcaceae;g__unidentified_Ruminococcaceae	0.000364	0	0.000135	0.000112	0	0.000043	0.093211	0.163825394	11	41	14	6	12	1	0	10	8	7
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__unidentified_Enterobacteriaceae	0.00043	0.000001	0.000342	0.075054	0.010498	0.04582	0.117719	0.200814765	12	82	0	2	3	8613	8700	9	13	10
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia	0.008282	0.00003	0.002457	0.003701	0.000011	0.001511	0.128228	0.212492114	720	0	388	404	408	0	1	297	291	267
